
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
D8:47:32:1D:CE:76, 2021-09-27 21:57:26, 2021-09-27 22:01:04,  7, 405, WPA2 WPA, CCMP, PSK, -77,       14,        0,   0.  0.  0.  0,   4, 23-4, 
C0:25:E9:3E:CE:F4, 2021-09-27 21:57:34, 2021-09-27 22:00:37,  1, 270, WPA2, CCMP, PSK, -81,       10,        1,   0.  0.  0.  0,  17, BrightonBeach_313, 
AC:84:C6:12:2F:64, 2021-09-27 21:58:42, 2021-09-27 22:00:35, 11,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
32:CD:A7:15:76:D2, 2021-09-27 21:57:34, 2021-09-27 22:00:12,  7,  54, WPA2, CCMP, PSK, -83,        7,        0,   0.  0.  0.  0,  24, DIRECT-upSCX-3400 Series, 
C0:C9:E3:80:E5:3A, 2021-09-27 21:57:32, 2021-09-27 22:00:01, 11, 270, WPA2, CCMP, PSK, -86,       12,        0,   0.  0.  0.  0,  20, Shinzou wo Sasageyo!, 
50:FF:20:11:31:3C, 2021-09-27 21:57:25, 2021-09-27 22:01:04,  7, 270, WPA2, CCMP, PSK, -85,       10,        0,   0.  0.  0.  0,  13, Keenetic-1462, 
84:D8:1B:F0:E7:F0, 2021-09-27 21:59:36, 2021-09-27 22:00:02,  1, 270, WPA2, CCMP, PSK, -87,        2,        0,   0.  0.  0.  0,  12, TP-Link_E7F0, 
F4:F5:DB:C1:E7:2B, 2021-09-27 22:00:00, 2021-09-27 22:01:01, 11,  65, OPN, ,   , -92,        1,        0,   0.  0.  0.  0,   6, Лия, 
28:28:5D:7B:A8:0C, 2021-09-27 21:59:51, 2021-09-27 21:59:51, 11, 130, WPA2, CCMP, PSK, -84,        1,        0,   0.  0.  0.  0,  10, CHURCHHELA, 
50:FF:20:38:31:A7, 2021-09-27 21:59:49, 2021-09-27 21:59:49,  9, 270, WPA2, CCMP, PSK, -88,        1,        0,   0.  0.  0.  0,   5, Piiki, 
84:D8:1B:8D:B2:D1, 2021-09-27 21:57:28, 2021-09-27 21:59:39,  8, 195, WPA2, CCMP TKIP, PSK, -82,        8,        1,   0.  0.  0.  0,  26, Keepers of System Analysis, 
2C:FD:A1:6B:BB:50, 2021-09-27 21:57:27, 2021-09-27 21:59:38,  2, 270, WPA2, CCMP, PSK, -87,        8,        0,   0.  0.  0.  0,   4, honk, 
D8:0D:17:EB:BA:26, 2021-09-27 21:57:25, 2021-09-27 21:59:36,  1, 270, WPA2, CCMP, PSK, -89,        2,        0,   0.  0.  0.  0,  12, TP-Link_BA26, 
