Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;23-4;D8:47:32:1D:CE:76;;7;No;WPA2,WPA,AES-CCM;No;405.0;0;14;0;0;0;0;0;;;Mon Sep 27 21:57:26 2021;Mon Sep 27 22:01:04 2021;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;BrightonBeach_313;C0:25:E9:3E:CE:F4;;1;No;WPA2,AES-CCM;No;270.0;0;10;0;1;0;0;1;;;Mon Sep 27 21:57:34 2021;Mon Sep 27 22:00:37 2021;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;;AC:84:C6:12:2F:64;;11;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Sep 27 21:58:42 2021;Mon Sep 27 22:00:35 2021;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;DIRECT-upSCX-3400 Series;32:CD:A7:15:76:D2;;7;No;WPA2,AES-CCM;No;54.0;0;7;0;0;0;0;0;;;Mon Sep 27 21:57:34 2021;Mon Sep 27 22:00:12 2021;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;Shinzou wo Sasageyo!;C0:C9:E3:80:E5:3A;;11;No;WPA2,AES-CCM;No;270.0;0;12;0;0;0;0;0;;;Mon Sep 27 21:57:32 2021;Mon Sep 27 22:00:01 2021;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;Keenetic-1462;50:FF:20:11:31:3C;;7;No;WPA2,AES-CCM;No;270.0;0;10;0;0;0;0;0;;;Mon Sep 27 21:57:25 2021;Mon Sep 27 22:01:04 2021;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;TP-Link_E7F0;84:D8:1B:F0:E7:F0;;1;No;WPA2,AES-CCM;No;270.0;0;2;0;0;0;0;0;;;Mon Sep 27 21:59:36 2021;Mon Sep 27 22:00:02 2021;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;Лия;F4:F5:DB:C1:E7:2B;;11;No;OPN,None;No;65.0;0;1;0;0;0;0;0;;;Mon Sep 27 22:00:00 2021;Mon Sep 27 22:01:01 2021;-92;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;Keepers of System Analysis;84:D8:1B:8D:B2:D1;;8;No;WPA2,AES-CCM,TKIP;No;195.0;0;8;0;1;0;0;1;;;Mon Sep 27 21:57:28 2021;Mon Sep 27 21:59:39 2021;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;honk;2C:FD:A1:6B:BB:50;;2;No;WPA2,AES-CCM;No;270.0;0;8;0;0;0;0;0;;;Mon Sep 27 21:57:27 2021;Mon Sep 27 21:59:38 2021;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
