LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2021-09-27 21:57:25,1900-01-00 00:00:00,,D8:47:32:E1:AF:4E,-57, ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:25,1900-01-00 00:00:00,321,D8:47:32:E1:AF:4E,-58, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:25,1900-01-00 00:00:00,321,D8:47:32:E1:AF:4E,-57, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:25,1900-01-00 00:00:00,321,D8:47:32:E1:AF:4E,-56, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:25,1900-01-00 00:00:00,,C8:3A:35:4B:48:A8,-84, ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:25,1900-01-00 00:00:00,,B0:60:88:1D:0D:49,-82,,0.000000,0.000000,0.000,0.000,Client
2021-09-27 21:57:25,1900-01-00 00:00:00,,C8:3A:35:4B:48:A8,-85, WPA ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:25,1900-01-00 00:00:00,,50:FF:20:11:31:3C,-86, ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:25,1900-01-00 00:00:00,321,D8:47:32:E1:AF:4E,-57, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:25,1900-01-00 00:00:00,room119,C8:3A:35:4B:48:A8,-88, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:25,1900-01-00 00:00:00,room119,C8:3A:35:4B:48:A8,-89, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:25,1900-01-00 00:00:00,room119,C8:3A:35:4B:48:A8,-88, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:25,1900-01-00 00:00:00,,98:DE:D0:35:EE:48,-84, ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:25,1900-01-00 00:00:00,Keenetic-1462,50:FF:20:11:31:3C,-86, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:25,1900-01-00 00:00:00,321,D8:47:32:E1:AF:4E,-57, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:25,1900-01-00 00:00:00,,04:E5:98:4B:C0:1A,-72,,0.000000,0.000000,0.000,0.000,Client
2021-09-27 21:57:25,1900-01-00 00:00:00,,66:64:4A:2E:98:BB,-47, ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:25,1900-01-00 00:00:00,,BE:A5:8B:8A:2F:34,-78, ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:25,1900-01-00 00:00:00,,04:E5:98:4B:C0:1A,-74,,0.000000,0.000000,0.000,0.000,Client
2021-09-27 21:57:25,1900-01-00 00:00:00,,D8:07:B6:6B:44:2E,-56, ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:25,1900-01-00 00:00:00,,04:E5:98:4B:C0:1A,-72,,0.000000,0.000000,0.000,0.000,Client
2021-09-27 21:57:25,1900-01-00 00:00:00,,0C:80:63:8D:A1:F8,-82, ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:25,1900-01-00 00:00:00,,7C:8B:CA:79:D0:98,-83, ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:25,1900-01-00 00:00:00,,C4:6E:7B:A2:BF:19,-88, ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:25,1900-01-00 00:00:00,,04:E5:98:4B:C0:1A,-71,,0.000000,0.000000,0.000,0.000,Client
2021-09-27 21:57:25,1900-01-00 00:00:00,,66:17:17:65:6D:06,-70,,0.000000,0.000000,0.000,0.000,Client
2021-09-27 21:57:25,1900-01-00 00:00:00,,34:2E:B6:BC:5B:12,-92,,0.000000,0.000000,0.000,0.000,Client
2021-09-27 21:57:25,1900-01-00 00:00:00,,64:64:4A:3E:98:BB,-48, ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:25,1900-01-00 00:00:00,vroomvroom,66:64:4A:2E:98:BB,-49, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:25,1900-01-00 00:00:00,AndroidAP2F34,BE:A5:8B:8A:2F:34,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:25,1900-01-00 00:00:00,,04:E5:98:4B:C0:1A,-70,,0.000000,0.000000,0.000,0.000,Client
2021-09-27 21:57:25,1900-01-00 00:00:00,TP-Link_442E,D8:07:B6:6B:44:2E,-57, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:25,1900-01-00 00:00:00,,04:E5:98:4B:C0:1A,-72,,0.000000,0.000000,0.000,0.000,Client
2021-09-27 21:57:25,1900-01-00 00:00:00,,60:AB:67:C2:6D:DE,-82,,0.000000,0.000000,0.000,0.000,Client
2021-09-27 21:57:25,1900-01-00 00:00:00,,04:E5:98:4B:C0:1A,-73,,0.000000,0.000000,0.000,0.000,Client
2021-09-27 21:57:25,1900-01-00 00:00:00,,D8:0D:17:EB:BA:26,-94, ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:25,1900-01-00 00:00:00,cupofcoffee,64:64:4A:3E:98:BB,-48, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:25,1900-01-00 00:00:00,vroomvroom,66:64:4A:2E:98:BB,-47, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:26,1900-01-00 00:00:00,,D8:47:32:1D:CE:76,-88, ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:26,1900-01-00 00:00:00,,C8:3A:35:40:F2:A0,-84, ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:26,1900-01-00 00:00:00,321,D8:47:32:E1:AF:4E,-58, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:26,1900-01-00 00:00:00,,D4:6E:0E:7C:CD:C2,-74, ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:26,1900-01-00 00:00:00,321,D8:47:32:E1:AF:4E,-59, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:26,1900-01-00 00:00:00,,18:A6:F7:E2:F9:7C,-79, ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:26,1900-01-00 00:00:00,,92:BB:B4:B7:68:0B,-61, ,0.000000,0.000000,0.000,0.000,AP
2021-09-27 21:57:26,1900-01-00 00:00:00,,B0:6E:BF:43:DA:E8,-77, ,0.000000,0.000000,0.000,0.000,AP
